,Geoid,Year,Eviction ID,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Tract,tract_year
174,6075016600,2012,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16600,166002012
175,6075016600,2013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16600,166002013
176,6075016600,2014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16600,166002014
177,6075016600,2015,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16600,166002015
178,6075016700,2011,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16700,167002011
179,6075016700,2012,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16700,167002012
180,6075016700,2013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16700,167002013
181,6075016700,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16700,167002015
182,6075016700,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16700,167002016
183,6075016700,2018,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16700,167002018
184,6075016801,2011,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16801,168012011
185,6075016801,2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16801,168012012
186,6075016801,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16801,168012014
187,6075016801,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16801,168012015
188,6075016801,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16801,168012016
189,6075016802,2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16802,168022012
190,6075016802,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16802,168022014
191,6075016802,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16802,168022015
192,6075016900,2011,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16900,169002011
193,6075016900,2013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16900,169002013
194,6075016900,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16900,169002015
195,6075016900,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16900,169002016
196,6075017000,2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17000,170002011
197,6075017000,2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17000,170002012
